,equipmentId,year_fit,year_og,year_diff,n,s_fit,pf_fit,ambient_bias_fit,heatRunTest_deltaTopOil_fit,heatRunTest_deltaHotspot_fit,heatRunTest_x_fit,heatRunTest_y_fit,heatRunTest_h_fit,heatRunTest_copperLosses_fit,heatRunTest_noLoadLosses_fit,nominalLoad_fit,MAE_fit,RMSE_fit,Bias_fit,R2_fit,s_og,pf_og,ambient_bias_og,heatRunTest_deltaTopOil_og,heatRunTest_deltaHotspot_og,heatRunTest_x_og,heatRunTest_y_og,heatRunTest_h_og,heatRunTest_copperLosses_og,heatRunTest_noLoadLosses_og,nominalLoad_og,MAE_og,RMSE_og,Bias_og,R2_og,error,s_diff,pf_diff,ambient_bias_diff,heatRunTest_deltaTopOil_diff,heatRunTest_deltaHotspot_diff,heatRunTest_x_diff,heatRunTest_y_diff,heatRunTest_h_diff,heatRunTest_copperLosses_diff,heatRunTest_noLoadLosses_diff,nominalLoad_diff,MAE_diff,RMSE_diff,Bias_diff,R2_diff
5,5017873,2024.0,2004.0,20.0,14664.0,0.0,0.8000000000000002,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,3.925892552716474,4.698062470800212,-3.571245979941078,0.15071137096098008,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,157.09,11.15,25.0,5.711494203676934,6.2758684303035785,-5.661650577371349,-0.5155329928818477,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.78560165096046,-1.5778059595033662,2.090404597430271,0.6662443638428278
6,5025312,2024.0,2007.0,17.0,14664.0,0.0,0.8000000000000026,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,3.638122129274288,4.561995944497984,-2.7488628878219195,0.3483114603158973,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,4.933581171232843,5.728841133143322,-4.843098085340972,-0.027694073281786302,,0.0,-0.1999999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2954590419585554,-1.166845188645338,2.0942351975190525,0.3760055335976836
7,5026188,2024.0,2006.0,18.0,14664.0,0.0,0.8000000000000002,0.0,49.4,71.9,0.79,1.39,1.3,271.8,18.15,50.0,4.6956746356128365,5.52663860762685,-3.242274105931511,-0.28908960923730165,0.0,1.0,0.0,49.4,71.9,0.79,1.39,1.3,271.8,18.15,50.0,6.175639064701247,6.8396954455900865,-6.080098792155109,-0.9743970927366776,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4799644290884109,-1.3130568379632361,2.837824686223598,0.685307483499376
8,5027447,2024.0,2007.0,17.0,14664.0,0.0,0.8000000000000002,0.0,46.7,63.0,0.9,1.6,1.09,236.62,17.18,50.0,10.892092316025202,12.674309229581182,-10.567987876114552,-1.7717210673792612,0.0,1.0,0.0,46.7,63.0,0.9,1.6,1.09,236.62,17.18,50.0,13.087093426811434,14.35594535778994,-12.82365222598761,-2.556022648200472,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1950011107862313,-1.6816361282087584,2.255664349873058,0.7843015808212108
9,5030256,2024.0,2007.0,17.0,14664.0,0.0,0.8042793636205087,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,7.281923352958775,9.170808410651109,-2.9468863413660062,-0.818464520792793,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,12.27,25.0,12.441483987553202,13.941920699829632,-12.32449951001153,-3.202762101374492,,0.0,-0.19572063637949133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.159560634594427,-4.771112289178523,9.377613168645523,2.384297580581699
10,50033827,2024.0,2008.0,16.0,14664.0,0.0,0.8000000000000002,0.0,54.1,67.4,0.73,1.48,1.13,186.51,16.37,40.0,6.172709971530199,7.263018317201141,-4.660056585861444,-0.795038153433403,0.0,1.0,0.0,54.1,67.4,0.73,1.48,1.13,186.51,16.37,40.0,9.57691986195348,10.420192300099295,-9.557369511619347,-2.694799468954338,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4042098904232807,-3.157173982898154,4.897312925757904,1.8997613155209352
11,50249457,2024.0,2011.0,13.0,14664.0,0.0,0.8178700294723531,0.0,51.9,67.7,0.66,1.34,1.1,106.3,9.5,25.0,5.604574575212306,6.72730818785684,-2.1705742805978265,0.24418985961769935,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,106.3,9.5,25.0,7.61933732320644,8.899492525945051,-6.987040629592726,-0.3226975590104886,,0.0,-0.1821299705276469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0147627479941344,-2.1721843380882113,4.816466348994899,0.5668874186281879
12,50250035,2024.0,2013.0,11.0,14664.0,0.0,0.8000000000000002,0.0,51.0,70.0,0.75,1.41,1.19,156.87,10.11,25.0,8.89723525961543,10.116592134765774,-8.796420038994134,-1.1845888881750084,0.0,1.0,0.0,51.0,70.0,0.75,1.41,1.19,156.87,10.11,25.0,10.556226273177474,11.458220557409955,-10.525468190860009,-1.8024352907098726,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6589910135620443,-1.341628422644181,1.7290481518658751,0.6178464025348642
13,50277055,2024.0,2013.0,11.0,14664.0,0.0,0.8195032565267858,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,6.237444025663234,7.643671557691974,-1.9200650952536908,0.07385196982817155,0.0,1.0,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,10.418234128937272,11.865488449541461,-10.292295112198817,-1.23176064093864,,0.0,-0.1804967434732142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.180790103274037,-4.221816891849487,8.372230016945126,1.3056126107668113
14,50282127,2024.0,2015.0,9.0,14664.0,0.0,0.8000000000000002,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,5.416288698324076,6.700079274049337,-3.6105329718180927,-0.32236605933670726,0.0,1.0,0.0,46.8,62.8,0.72,1.32,1.16,149.18,15.51,40.0,6.797240291248189,8.017658096909624,-6.050854741055837,-0.8935940317771218,,0.0,-0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.380951592924113,-1.3175788228602876,2.4403217692377446,0.5712279724404146
